tenant_id,submission_id,decided_at,perplexity_micros,tail_fraction_micros,novelty_score_micros,task_success,length
tenant-a,s029b,2026-07-30T00:00:00Z,2029,500,100,failure,2029
tenant-a,s030a,2026-07-30T00:00:00Z,1030,500,900,success,1030
tenant-a,s030b,2026-07-30T00:00:00Z,2030,500,100,failure,2030
tenant-a,s031a,2026-07-30T00:00:00Z,1031,500,900,success,1031
tenant-a,s031b,2026-07-30T00:00:00Z,2031,500,100,failure,2031
tenant-a,s032a,2026-07-30T00:00:00Z,1032,500,900,success,1032
tenant-a,s032b,2026-07-30T00:00:00Z,2032,500,100,failure,2032
tenant-a,s033a,2026-07-30T00:00:00Z,1033,500,900,success,1033
tenant-a,s033b,2026-07-30T00:00:00Z,2033,500,100,failure,2033
tenant-a,s034a,2026-07-30T00:00:00Z,1034,500,900,success,1034
tenant-a,s034b,2026-07-30T00:00:00Z,2034,500,100,failure,2034
tenant-a,s035a,2026-07-30T00:00:00Z,1035,500,900,success,1035
tenant-a,s035b,2026-07-30T00:00:00Z,2035,500,100,failure,2035
tenant-a,s036a,2026-07-30T00:00:00Z,1036,500,900,success,1036
tenant-a,s036b,2026-07-30T00:00:00Z,2036,500,100,failure,2036
tenant-a,s037a,2026-07-30T00:00:00Z,1037,500,900,success,1037
tenant-a,s037b,2026-07-30T00:00:00Z,2037,500,100,failure,2037
tenant-a,s038a,2026-07-30T00:00:00Z,1038,500,900,success,1038
tenant-a,s038b,2026-07-30T00:00:00Z,2038,500,100,failure,2038
tenant-a,s039a,2026-07-30T00:00:00Z,1039,500,900,success,1039
tenant-a,s039b,2026-07-30T00:00:00Z,2039,500,100,failure,2039
tenant-a,s040a,2026-07-30T00:00:00Z,1040,500,900,success,1040
tenant-a,s040b,2026-07-30T00:00:00Z,2040,500,100,failure,2040
tenant-a,s041a,2026-07-30T00:00:00Z,1041,500,900,success,1041
tenant-a,s041b,2026-07-30T00:00:00Z,2041,500,100,failure,2041
tenant-a,s042a,2026-07-30T00:00:00Z,1042,500,900,success,1042
tenant-a,s042b,2026-07-30T00:00:00Z,2042,500,100,failure,2042
tenant-a,s043a,2026-07-30T00:00:00Z,1043,500,900,success,1043
tenant-a,s043b,2026-07-30T00:00:00Z,2043,500,100,failure,2043
tenant-a,s044a,2026-07-30T00:00:00Z,1044,500,900,success,1044
tenant-a,s044b,2026-07-30T00:00:00Z,2044,500,100,failure,2044
tenant-a,s045a,2026-07-30T00:00:00Z,1045,500,900,success,1045
tenant-a,s045b,2026-07-30T00:00:00Z,2045,500,100,failure,2045
tenant-a,s046a,2026-07-30T00:00:00Z,1046,500,900,success,1046
tenant-a,s046b,2026-07-30T00:00:00Z,2046,500,100,failure,2046
tenant-a,s047a,2026-07-30T00:00:00Z,1047,500,900,success,1047
tenant-a,s047b,2026-07-30T00:00:00Z,2047,500,100,failure,2047
tenant-a,s048a,2026-07-30T00:00:00Z,1048,500,900,success,1048
tenant-a,s048b,2026-07-30T00:00:00Z,2048,500,100,failure,2048
tenant-a,s049a,2026-07-30T00:00:00Z,1049,500,900,success,1049
tenant-a,s049b,2026-07-30T00:00:00Z,2049,500,100,failure,2049
tenant-a,s050a,2026-07-30T00:00:00Z,1050,500,900,success,1050
tenant-a,s050b,2026-07-30T00:00:00Z,2050,500,100,failure,2050
tenant-a,s051a,2026-07-30T00:00:00Z,1051,500,900,success,1051
tenant-a,s051b,2026-07-30T00:00:00Z,2051,500,100,failure,2051
tenant-a,s052a,2026-07-30T00:00:00Z,1052,500,900,success,1052
tenant-a,s052b,2026-07-30T00:00:00Z,2052,500,100,failure,2052
tenant-a,s053a,2026-07-30T00:00:00Z,1053,500,900,success,1053
tenant-a,s053b,2026-07-30T00:00:00Z,2053,500,100,failure,2053
tenant-a,s054a,2026-07-30T00:00:00Z,1054,500,900,success,1054
tenant-a,s054b,2026-07-30T00:00:00Z,2054,500,100,failure,2054
tenant-a,s055a,2026-07-30T00:00:00Z,1055,500,900,success,1055
tenant-a,s055b,2026-07-30T00:00:00Z,2055,500,100,failure,2055
tenant-a,s056a,2026-07-30T00:00:00Z,1056,500,900,success,1056
tenant-a,s056b,2026-07-30T00:00:00Z,2056,500,100,failure,2056
tenant-a,s057a,2026-07-30T00:00:00Z,1057,500,900,success,1057
tenant-a,s057b,2026-07-30T00:00:00Z,2057,500,100,failure,2057
tenant-a,s058a,2026-07-30T00:00:00Z,1058,500,900,success,1058
tenant-a,s058b,2026-07-30T00:00:00Z,2058,500,100,failure,2058
tenant-a,s059a,2026-07-30T00:00:00Z,1059,500,900,success,1059
tenant-a,s059b,2026-07-30T00:00:00Z,2059,500,100,failure,2059
tenant-a,s060a,2026-07-30T00:00:00Z,1060,500,900,success,1060
tenant-a,s060b,2026-07-30T00:00:00Z,2060,500,100,failure,2060
tenant-a,s061a,2026-07-30T00:00:00Z,1061,500,900,success,1061
tenant-a,s061b,2026-07-30T00:00:00Z,2061,500,100,failure,2061
tenant-a,s062a,2026-07-30T00:00:00Z,1062,500,900,success,1062
tenant-a,s062b,2026-07-30T00:00:00Z,2062,500,100,failure,2062
tenant-a,s063a,2026-07-30T00:00:00Z,1063,500,900,success,1063
tenant-a,s063b,2026-07-30T00:00:00Z,2063,500,100,failure,2063
tenant-b,s064a,2026-07-30T00:00:00Z,1064,500,900,success,1064
tenant-b,s064b,2026-07-30T00:00:00Z,2064,500,100,failure,2064
tenant-b,s065a,2026-07-30T00:00:00Z,1065,500,900,success,1065
tenant-b,s065b,2026-07-30T00:00:00Z,2065,500,100,failure,2065
tenant-b,s066a,2026-07-30T00:00:00Z,1066,500,900,success,1066
tenant-b,s066b,2026-07-30T00:00:00Z,2066,500,100,failure,2066
tenant-b,s067a,2026-07-30T00:00:00Z,1067,500,900,success,1067
tenant-b,s067b,2026-07-30T00:00:00Z,2067,500,100,failure,2067
tenant-b,s068a,2026-07-30T00:00:00Z,1068,500,900,success,1068
tenant-b,s068b,2026-07-30T00:00:00Z,2068,500,100,failure,2068
tenant-b,s069a,2026-07-30T00:00:00Z,1069,500,900,success,1069
tenant-b,s069b,2026-07-30T00:00:00Z,2069,500,100,failure,2069
tenant-b,s070a,2026-07-30T00:00:00Z,1070,500,900,success,1070
tenant-b,s070b,2026-07-30T00:00:00Z,2070,500,100,failure,2070
tenant-b,s071a,2026-07-30T00:00:00Z,1071,500,900,success,1071
tenant-b,s071b,2026-07-30T00:00:00Z,2071,500,100,failure,2071
tenant-b,s072a,2026-07-30T00:00:00Z,1072,500,900,success,1072
tenant-b,s072b,2026-07-30T00:00:00Z,2072,500,100,failure,2072
tenant-b,s073a,2026-07-30T00:00:00Z,1073,500,900,success,1073
tenant-b,s073b,2026-07-30T00:00:00Z,2073,500,100,failure,2073
tenant-b,s074a,2026-07-30T00:00:00Z,1074,500,900,success,1074
tenant-b,s074b,2026-07-30T00:00:00Z,2074,500,100,failure,2074
tenant-b,s075a,2026-07-30T00:00:00Z,1075,500,900,success,1075
tenant-b,s075b,2026-07-30T00:00:00Z,2075,500,100,failure,2075
tenant-b,s076a,2026-07-30T00:00:00Z,1076,500,900,success,1076
tenant-b,s076b,2026-07-30T00:00:00Z,2076,500,100,failure,2076
tenant-b,s077a,2026-07-30T00:00:00Z,1077,500,900,success,1077
tenant-b,s077b,2026-07-30T00:00:00Z,2077,500,100,failure,2077
tenant-b,s078a,2026-07-30T00:00:00Z,1078,500,900,success,1078
tenant-b,s078b,2026-07-30T00:00:00Z,2078,500,100,failure,2078
tenant-b,s079a,2026-07-30T00:00:00Z,1079,500,900,success,1079
tenant-b,s079b,2026-07-30T00:00:00Z,2079,500,100,failure,2079
tenant-b,s080a,2026-07-30T00:00:00Z,1080,500,900,success,1080
tenant-b,s080b,2026-07-30T00:00:00Z,2080,500,100,failure,2080
tenant-b,s081a,2026-07-30T00:00:00Z,1081,500,900,success,1081
tenant-b,s081b,2026-07-30T00:00:00Z,2081,500,100,failure,2081
tenant-b,s082a,2026-07-30T00:00:00Z,1082,500,900,success,1082
tenant-b,s082b,2026-07-30T00:00:00Z,2082,500,100,failure,2082
tenant-b,s083a,2026-07-30T00:00:00Z,1083,500,900,success,1083
tenant-b,s083b,2026-07-30T00:00:00Z,2083,500,100,failure,2083
tenant-b,s084a,2026-07-30T00:00:00Z,1084,500,900,success,1084
tenant-b,s084b,2026-07-30T00:00:00Z,2084,500,100,failure,2084
tenant-b,s085a,2026-07-30T00:00:00Z,1085,500,900,success,1085
tenant-b,s085b,2026-07-30T00:00:00Z,2085,500,100,failure,2085
tenant-b,s086a,2026-07-30T00:00:00Z,1086,500,900,success,1086
tenant-b,s086b,2026-07-30T00:00:00Z,2086,500,100,failure,2086
tenant-b,s087a,2026-07-30T00:00:00Z,1087,500,900,success,1087
tenant-b,s087b,2026-07-30T00:00:00Z,2087,500,100,failure,2087
tenant-b,s088a,2026-07-30T00:00:00Z,1088,500,900,success,1088
tenant-b,s088b,2026-07-30T00:00:00Z,2088,500,100,failure,2088
tenant-b,s089a,2026-07-30T00:00:00Z,1089,500,900,success,1089
tenant-b,s089b,2026-07-30T00:00:00Z,2089,500,100,failure,2089
tenant-b,s090a,2026-07-30T00:00:00Z,1090,500,900,success,1090
tenant-b,s090b,2026-07-30T00:00:00Z,2090,500,100,failure,2090
tenant-b,s091a,2026-07-30T00:00:00Z,1091,500,900,success,1091
tenant-b,s091b,2026-07-30T00:00:00Z,2091,500,100,failure,2091
tenant-b,s092a,2026-07-30T00:00:00Z,1092,500,900,success,1092
tenant-b,s092b,2026-07-30T00:00:00Z,2092,500,100,failure,2092
tenant-b,s093a,2026-07-30T00:00:00Z,1093,500,900,success,1093
tenant-b,s093b,2026-07-30T00:00:00Z,2093,500,100,failure,2093
tenant-b,s094a,2026-07-30T00:00:00Z,1094,500,900,success,1094
tenant-b,s094b,2026-07-30T00:00:00Z,2094,500,100,failure,2094
tenant-b,s095a,2026-07-30T00:00:00Z,1095,500,900,success,1095
tenant-b,s095b,2026-07-30T00:00:00Z,2095,500,100,failure,2095
tenant-b,s096a,2026-07-30T00:00:00Z,1096,500,900,success,1096
tenant-b,s096b,2026-07-30T00:00:00Z,2096,500,100,failure,2096
tenant-b,s097a,2026-07-30T00:00:00Z,1097,500,900,success,1097
tenant-b,s097b,2026-07-30T00:00:00Z,2097,500,100,failure,2097
tenant-b,s098a,2026-07-30T00:00:00Z,1098,500,900,success,1098
tenant-b,s098b,2026-07-30T00:00:00Z,2098,500,100,failure,2098
tenant-b,s099a,2026-07-30T00:00:00Z,1099,500,900,success,1099
tenant-b,s099b,2026-07-30T00:00:00Z,2099,500,100,failure,2099
tenant-b,s100a,2026-07-30T00:00:00Z,1100,500,900,success,1100
tenant-b,s100b,2026-07-30T00:00:00Z,2100,500,100,failure,2100
tenant-b,s101a,2026-07-30T00:00:00Z,1101,500,900,success,1101
tenant-b,s101b,2026-07-30T00:00:00Z,2101,500,100,failure,2101
tenant-b,s102a,2026-07-30T00:00:00Z,1102,500,900,success,1102
tenant-b,s102b,2026-07-30T00:00:00Z,2102,500,100,failure,2102
tenant-b,s103a,2026-07-30T00:00:00Z,1103,500,900,success,1103
tenant-b,s103b,2026-07-30T00:00:00Z,2103,500,100,failure,2103
tenant-b,s104a,2026-07-30T00:00:00Z,1104,500,900,success,1104
tenant-b,s104b,2026-07-30T00:00:00Z,2104,500,100,failure,2104
tenant-b,s105a,2026-07-30T00:00:00Z,1105,500,900,success,1105
tenant-b,s105b,2026-07-30T00:00:00Z,2105,500,100,failure,2105
tenant-b,s106a,2026-07-30T00:00:00Z,1106,500,900,success,1106
tenant-b,s106b,2026-07-30T00:00:00Z,2106,500,100,failure,2106
tenant-b,s107a,2026-07-30T00:00:00Z,1107,500,900,success,1107
tenant-b,s107b,2026-07-30T00:00:00Z,2107,500,100,failure,2107
tenant-b,s108a,2026-07-30T00:00:00Z,1108,500,900,success,1108
tenant-b,s108b,2026-07-30T00:00:00Z,2108,500,100,failure,2108
tenant-b,s109a,2026-07-30T00:00:00Z,1109,500,900,success,1109
tenant-b,s109b,2026-07-30T00:00:00Z,2109,500,100,failure,2109
tenant-b,s110a,2026-07-30T00:00:00Z,1110,500,900,success,1110
tenant-b,s110b,2026-07-30T00:00:00Z,2110,500,100,failure,2110
tenant-b,s111a,2026-07-30T00:00:00Z,1111,500,900,success,1111
tenant-b,s111b,2026-07-30T00:00:00Z,2111,500,100,failure,2111
tenant-b,s112a,2026-07-30T00:00:00Z,1112,500,900,success,1112
tenant-b,s112b,2026-07-30T00:00:00Z,2112,500,100,failure,2112
tenant-b,s113a,2026-07-30T00:00:00Z,1113,500,900,success,1113
tenant-b,s113b,2026-07-30T00:00:00Z,2113,500,100,failure,2113
tenant-b,s114a,2026-07-30T00:00:00Z,1114,500,900,success,1114
tenant-b,s114b,2026-07-30T00:00:00Z,2114,500,100,failure,2114
tenant-b,s115a,2026-07-30T00:00:00Z,1115,500,900,success,1115
tenant-b,s115b,2026-07-30T00:00:00Z,2115,500,100,failure,2115
tenant-b,s116a,2026-07-30T00:00:00Z,1116,500,900,success,1116
tenant-b,s116b,2026-07-30T00:00:00Z,2116,500,100,failure,2116
tenant-b,s117a,2026-07-30T00:00:00Z,1117,500,900,success,1117
tenant-b,s117b,2026-07-30T00:00:00Z,2117,500,100,failure,2117
tenant-b,s118a,2026-07-30T00:00:00Z,1118,500,900,success,1118
tenant-b,s118b,2026-07-30T00:00:00Z,2118,500,100,failure,2118
tenant-b,s119a,2026-07-30T00:00:00Z,1119,500,900,success,1119
tenant-b,s119b,2026-07-30T00:00:00Z,2119,500,100,failure,2119
tenant-b,s120a,2026-07-30T00:00:00Z,1120,500,900,success,1120
tenant-b,s120b,2026-07-30T00:00:00Z,2120,500,100,failure,2120
tenant-b,s121a,2026-07-30T00:00:00Z,1121,500,900,success,1121
tenant-b,s121b,2026-07-30T00:00:00Z,2121,500,100,failure,2121
tenant-b,s122a,2026-07-30T00:00:00Z,1122,500,900,success,1122
tenant-b,s122b,2026-07-30T00:00:00Z,2122,500,100,failure,2122
tenant-b,s123a,2026-07-30T00:00:00Z,1123,500,900,success,1123
tenant-b,s123b,2026-07-30T00:00:00Z,2123,500,100,failure,2123
tenant-b,s124a,2026-07-30T00:00:00Z,1124,500,900,success,1124
tenant-b,s124b,2026-07-30T00:00:00Z,2124,500,100,failure,2124
tenant-b,s125a,2026-07-30T00:00:00Z,1125,500,900,success,1125
tenant-b,s125b,2026-07-30T00:00:00Z,2125,500,100,failure,2125
tenant-c,s126a,2026-07-30T00:00:00Z,1126,100,900,success,1126
tenant-d,s126b,2026-07-30T00:00:00Z,2126,200,100,failure,2126
tenant-c,s127a,2026-07-30T00:00:00Z,1127,300,900,success,1127
tenant-d,s127b,2026-07-30T00:00:00Z,2127,400,100,failure,2127
tenant-e,s128a,2026-07-30T00:00:00Z,1128,600,900,success,1128
tenant-e,s128b,2026-07-30T00:00:00Z,2128,700,100,failure,2128
tenant-f,s129a,2026-07-30T00:00:00Z,1129,800,900,success,1129
tenant-f,s129b,2026-07-30T00:00:00Z,2129,900,100,failure,2129
tenant-g,s130a,2026-07-30T00:00:00Z,1130,500,900,success,1130
tenant-g,s130b,2026-07-30T00:00:00Z,2130,500,100,failure,2130
tenant-h,s131a,2026-07-30T00:00:00Z,1131,500,900,success,1131
tenant-h,s131b,2026-07-30T00:00:00Z,2131,500,100,failure,2131
tenant-i,s132a,2026-07-30T00:00:00Z,1132,500,900,success,1132
tenant-i,s132b,2026-07-30T00:00:00Z,2132,500,100,failure,2132
tenant-j,s133a,2026-07-30T00:00:00Z,1133,500,900,success,1133
tenant-j,s133b,2026-07-30T00:00:00Z,2133,500,100,failure,2133
